tx_id	hiND14_RFP_wt_rep1	hiND14_RFP_wt_rep2	hiND14_RFP_wt_rep3	hiND14_RFP_Nterm_rep1	hiND14_RFP_Nterm_rep2	hiND14_RFP_Nterm_rep3	hiND14_wt_rep1_RNA	hiND14_wt_rep3_RNA	hiND14_Nterm_rep2_RNA	hiND14_wt_rep2_RNA	hiND14_Nterm_rep3_RNA	hiND14_Nterm_rep1_RNA
ENST00000409977	3.0	6.0	3.0	1.0	4.0	3.0	10.0	21.0	5.0	14.0	7.0	11.0
ENST00000402738	24.0	47.0	42.0	38.0	32.0	50.0	419.0	496.0	375.0	446.0	499.0	409.0
ENST00000321348	36.0	52.0	28.0	23.0	31.0	34.0	81.0	101.0	88.0	88.0	97.0	55.0
ENST00000278505	1699.0	2413.0	1741.0	1497.0	1716.0	1694.0	3616.0	3258.0	2362.0	3177.0	2237.0	2399.0
ENST00000358859	1.0	3.0	7.0	5.0	4.0	6.0	0.0	0.0	0.0	0.0	1.0	0.0
ENST00000358321	174.0	289.0	204.0	158.0	183.0	186.0	181.0	160.0	102.0	161.0	100.0	118.0
ENST00000306087	12.0	20.0	15.0	11.0	12.0	15.0	13.0	8.0	16.0	20.0	13.0	9.0
ENST00000545234	14.0	17.0	6.0	10.0	6.0	4.0	18.0	7.0	6.0	16.0	7.0	9.0
ENST00000272452	200.0	261.0	136.0	90.0	73.0	55.0	301.0	254.0	92.0	296.0	77.0	95.0
ENST00000217426	2369.0	3187.0	2600.0	2450.0	2582.0	2940.0	2871.0	2685.0	2107.0	2466.0	2284.0	2146.0
ENST00000299155	3.0	4.0	3.0	0.0	1.0	4.0	8.0	6.0	4.0	7.0	4.0	4.0
ENST00000361247	1774.0	2342.0	1978.0	1697.0	1873.0	2157.0	2901.0	2769.0	2273.0	2435.0	2510.0	2242.0
ENST00000371610	583.0	796.0	575.0	529.0	542.0	612.0	261.0	242.0	181.0	210.0	188.0	173.0
ENST00000372431	4605.0	5781.0	4870.0	3847.0	4164.0	3747.0	3528.0	2937.0	1971.0	2690.0	1594.0	2050.0
ENST00000349830	10.0	15.0	16.0	10.0	12.0	6.0	372.0	318.0	158.0	270.0	312.0	306.0
ENST00000452271	0.0	1.0	0.0	2.0	1.0	0.0	3.0	5.0	6.0	2.0	5.0	2.0
ENST00000366476	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
ENST00000300035	30.0	33.0	30.0	21.0	24.0	27.0	73.0	95.0	77.0	76.0	78.0	67.0
ENST00000433844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000379341	1506.0	1853.0	1488.0	1238.0	1383.0	1508.0	1012.0	952.0	652.0	768.0	686.0	701.0
ENST00000379116	0.0	1.0	1.0	0.0	1.0	3.0	49.0	58.0	35.0	58.0	41.0	42.0
ENST00000359775	283.0	409.0	335.0	319.0	329.0	392.0	856.0	804.0	686.0	668.0	758.0	687.0
ENST00000395675	29.0	49.0	38.0	34.0	37.0	59.0	628.0	667.0	538.0	495.0	635.0	597.0
ENST00000178638	5.0	7.0	5.0	5.0	6.0	5.0	12.0	11.0	7.0	5.0	7.0	9.0
ENST00000261700	2294.0	2867.0	2333.0	2226.0	2181.0	2513.0	2166.0	2169.0	1543.0	1835.0	1787.0	1731.0
ENST00000475243	1680.0	2149.0	1622.0	1608.0	1595.0	1867.0	4168.0	4540.0	3469.0	3850.0	4117.0	3585.0
ENST00000374321	0.0	0.0	0.0	0.0	0.0	0.0	38.0	46.0	47.0	60.0	55.0	40.0
ENST00000642610	0.0	1.0	2.0	0.0	1.0	1.0	27.0	21.0	22.0	11.0	24.0	18.0
ENST00000425562	896.0	1142.0	925.0	736.0	859.0	1079.0	1134.0	1094.0	820.0	953.0	856.0	831.0
ENST00000312251	53.0	92.0	65.0	73.0	67.0	89.0	111.0	119.0	105.0	102.0	135.0	82.0
ENST00000348831	449.0	649.0	438.0	470.0	454.0	516.0	1382.0	1512.0	1125.0	1347.0	1186.0	1070.0
ENST00000361564	836.0	1087.0	909.0	751.0	813.0	954.0	1242.0	1232.0	841.0	1024.0	949.0	876.0
ENST00000311350	772.0	1007.0	695.0	659.0	641.0	706.0	975.0	959.0	705.0	810.0	771.0	679.0
ENST00000317135	984.0	1156.0	1089.0	944.0	1040.0	1350.0	646.0	771.0	589.0	686.0	717.0	603.0
ENST00000507382	93.0	149.0	119.0	77.0	101.0	74.0	119.0	107.0	55.0	104.0	50.0	52.0
ENST00000310673	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0
ENST00000361547	610.0	840.0	667.0	577.0	658.0	721.0	3256.0	3333.0	2350.0	2898.0	2711.0	2452.0
ENST00000641490	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000674324	13.0	13.0	12.0	9.0	11.0	8.0	13.0	13.0	9.0	10.0	6.0	5.0
ENST00000332839	1595.0	1949.0	1736.0	1459.0	1535.0	1940.0	1941.0	2116.0	1538.0	1700.0	1897.0	1592.0
ENST00000395925	186.0	233.0	154.0	95.0	136.0	113.0	536.0	464.0	258.0	464.0	258.0	323.0
ENST00000458143	541.0	598.0	508.0	476.0	525.0	653.0	1093.0	1109.0	875.0	1003.0	967.0	866.0
ENST00000417945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000298068	382.0	485.0	384.0	310.0	342.0	408.0	455.0	443.0	366.0	388.0	469.0	418.0
ENST00000449191	3.0	2.0	3.0	4.0	0.0	4.0	12.0	8.0	3.0	9.0	7.0	6.0
ENST00000228705	365.0	523.0	373.0	397.0	403.0	485.0	1328.0	1346.0	1120.0	1223.0	1174.0	1044.0
ENST00000381120	468.0	501.0	398.0	435.0	376.0	439.0	443.0	505.0	330.0	414.0	358.0	399.0
ENST00000574481	0.0	0.0	1.0	0.0	2.0	1.0	10.0	13.0	8.0	7.0	4.0	9.0
ENST00000686983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
ENST00000265018	2.0	6.0	4.0	4.0	1.0	10.0	8.0	14.0	8.0	7.0	14.0	6.0
ENST00000377126	33.0	57.0	24.0	35.0	37.0	33.0	91.0	100.0	70.0	83.0	69.0	73.0
ENST00000434824	0.0	2.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	3.0	0.0
ENST00000614127	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
ENST00000263657	533.0	660.0	498.0	451.0	454.0	543.0	476.0	527.0	376.0	519.0	456.0	408.0
ENST00000674281	5.0	8.0	7.0	7.0	5.0	7.0	25.0	30.0	28.0	29.0	20.0	25.0
ENST00000336294	256.0	367.0	299.0	301.0	308.0	388.0	320.0	338.0	276.0	274.0	319.0	279.0
ENST00000397088	0.0	0.0	0.0	0.0	1.0	0.0	1.0	6.0	5.0	5.0	1.0	0.0
ENST00000610935	387.0	587.0	496.0	461.0	498.0	527.0	823.0	784.0	573.0	696.0	643.0	629.0
ENST00000357164	1874.0	2499.0	2002.0	1574.0	1708.0	1655.0	2988.0	2775.0	1906.0	2696.0	1608.0	1900.0
ENST00000370152	89.0	109.0	97.0	93.0	101.0	123.0	1164.0	1165.0	996.0	1088.0	1075.0	1059.0
ENST00000331035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	1.0	0.0
ENST00000329138	2441.0	3387.0	2893.0	2512.0	2747.0	2991.0	2863.0	2876.0	2000.0	2568.0	2412.0	2242.0
ENST00000299518	457.0	606.0	444.0	415.0	456.0	552.0	599.0	495.0	442.0	507.0	572.0	461.0
ENST00000282397	115.0	142.0	95.0	96.0	89.0	74.0	61.0	53.0	38.0	46.0	31.0	35.0
ENST00000340126	564.0	696.0	460.0	384.0	432.0	385.0	526.0	511.0	329.0	448.0	279.0	320.0
ENST00000389474	1.0	4.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000284503	366.0	460.0	394.0	363.0	319.0	401.0	568.0	526.0	381.0	515.0	422.0	428.0
ENST00000325110	8533.0	9995.0	9345.0	9591.0	9037.0	11154.0	8867.0	9815.0	7924.0	7954.0	9979.0	8548.0
ENST00000013222	0.0	1.0	2.0	1.0	1.0	1.0	36.0	29.0	24.0	25.0	35.0	27.0
ENST00000368195	3.0	2.0	3.0	4.0	2.0	1.0	4.0	10.0	2.0	4.0	5.0	3.0
ENST00000539008	945.0	1377.0	1143.0	971.0	993.0	1167.0	5814.0	5940.0	3930.0	4988.0	4729.0	4320.0
ENST00000546463	6684.0	8222.0	7289.0	6976.0	7068.0	8053.0	10500.0	10487.0	7678.0	9044.0	9244.0	7912.0
ENST00000291900	1871.0	2296.0	1849.0	1682.0	1679.0	1966.0	3003.0	2833.0	1950.0	2584.0	2409.0	2176.0
ENST00000366810	2.0	1.0	3.0	3.0	1.0	2.0	2.0	4.0	1.0	3.0	0.0	2.0
ENST00000261560	148.0	159.0	131.0	113.0	127.0	146.0	462.0	477.0	425.0	445.0	428.0	371.0
ENST00000331858	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	0.0	0.0	0.0
ENST00000542569	1125.0	1351.0	1101.0	883.0	975.0	1176.0	2320.0	2351.0	1790.0	2044.0	1755.0	1739.0
ENST00000300057	13.0	24.0	9.0	13.0	23.0	24.0	17.0	20.0	13.0	16.0	23.0	13.0
ENST00000641930	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
ENST00000315599	0.0	0.0	1.0	1.0	1.0	1.0	0.0	5.0	4.0	13.0	5.0	6.0
ENST00000376233	288.0	352.0	271.0	245.0	267.0	342.0	563.0	578.0	492.0	520.0	519.0	542.0
ENST00000423730	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0
ENST00000309539	13.0	39.0	19.0	15.0	25.0	30.0	14.0	38.0	19.0	26.0	26.0	17.0
ENST00000360839	33.0	51.0	34.0	31.0	39.0	41.0	2057.0	2360.0	1994.0	1820.0	1872.0	1894.0
ENST00000066544	1399.0	1631.0	1288.0	1265.0	1320.0	1615.0	1448.0	1659.0	1361.0	1340.0	1656.0	1312.0
ENST00000262418	1.0	0.0	0.0	0.0	0.0	1.0	6.0	3.0	6.0	5.0	11.0	1.0
ENST00000351486	236.0	308.0	239.0	192.0	190.0	244.0	214.0	211.0	182.0	148.0	152.0	158.0
ENST00000369208	1338.0	1837.0	1577.0	1472.0	1380.0	1953.0	3449.0	3795.0	3078.0	3200.0	4008.0	3141.0
ENST00000395614	166.0	246.0	200.0	168.0	152.0	210.0	236.0	183.0	175.0	194.0	194.0	171.0
ENST00000295367	125.0	150.0	114.0	85.0	84.0	92.0	79.0	87.0	59.0	86.0	58.0	48.0
ENST00000688521	841.0	1039.0	873.0	894.0	801.0	1095.0	511.0	562.0	361.0	413.0	489.0	458.0
ENST00000295958	756.0	893.0	722.0	659.0	573.0	712.0	2178.0	2239.0	1632.0	2085.0	1421.0	1732.0
ENST00000454887	3.0	2.0	3.0	1.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000336233	1472.0	1711.0	1342.0	1116.0	1202.0	1315.0	1078.0	1047.0	750.0	942.0	817.0	743.0
ENST00000642706	12.0	16.0	19.0	6.0	6.0	6.0	27.0	23.0	20.0	11.0	17.0	14.0
ENST00000357244	1057.0	1321.0	1076.0	997.0	985.0	1216.0	3259.0	3240.0	2779.0	2765.0	3142.0	2812.0
ENST00000253861	2494.0	2914.0	2580.0	2177.0	2348.0	2834.0	2932.0	2998.0	2225.0	2513.0	2517.0	2434.0
ENST00000641661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENST00000347624	2.0	1.0	3.0	1.0	0.0	1.0	0.0	2.0	0.0	3.0	5.0	0.0
ENST00000374680	708.0	953.0	815.0	745.0	763.0	886.0	1062.0	1077.0	773.0	942.0	846.0	835.0
ENST00000243662	106.0	145.0	86.0	84.0	66.0	80.0	138.0	90.0	103.0	102.0	56.0	88.0
